country,year,sex,age,suicides_no,population
Kuwait,2014,male,75+ years,0.0,10485.0
Kyrgyzstan,1981,female,15-24 years,20.0,383200.0
Kyrgyzstan,1981,female,25-34 years,19.0,253200.0
Kyrgyzstan,1981,female,35-54 years,35.0,330800.0
Kyrgyzstan,1981,female,5-14 years,1.0,429000.0
Kyrgyzstan,1981,female,55-74 years,36.0,203400.0
Kyrgyzstan,1981,female,75+ years,10.0,55800.0
Kyrgyzstan,1981,male,15-24 years,61.0,390700.0
Kyrgyzstan,1981,male,25-34 years,96.0,251400.0
Kyrgyzstan,1981,male,35-54 years,170.0,314900.0
Kyrgyzstan,1981,male,5-14 years,2.0,435600.0
Kyrgyzstan,1981,male,55-74 years,54.0,118000.0
Kyrgyzstan,1981,male,75+ years,5.0,27400.0
Kyrgyzstan,1982,female,15-24 years,19.0,388200.0
Kyrgyzstan,1982,female,25-34 years,18.0,267800.0
Kyrgyzstan,1982,female,35-54 years,30.0,329400.0
Kyrgyzstan,1982,female,5-14 years,0.0,434100.0
Kyrgyzstan,1982,female,55-74 years,31.0,210700.0
Kyrgyzstan,1982,female,75+ years,6.0,57300.0
Kyrgyzstan,1982,male,15-24 years,58.0,393400.0
Kyrgyzstan,1982,male,25-34 years,102.0,265200.0
Kyrgyzstan,1982,male,35-54 years,180.0,314500.0
Kyrgyzstan,1982,male,5-14 years,3.0,441200.0
Kyrgyzstan,1982,male,55-74 years,58.0,125900.0
Kyrgyzstan,1982,male,75+ years,11.0,27300.0
Kyrgyzstan,1983,female,15-24 years,,391800.0
Kyrgyzstan,1983,female,25-34 years,,287500.0
Kyrgyzstan,1983,female,35-54 years,,329000.0
Kyrgyzstan,1983,female,5-14 years,,443600.0
Kyrgyzstan,1983,female,55-74 years,,221800.0
Kyrgyzstan,1983,female,75+ years,,58500.0
Kyrgyzstan,1983,male,15-24 years,,393300.0
Kyrgyzstan,1983,male,25-34 years,,286100.0
Kyrgyzstan,1983,male,35-54 years,,315100.0
Kyrgyzstan,1983,male,5-14 years,,451300.0
Kyrgyzstan,1983,male,55-74 years,,138400.0
Kyrgyzstan,1983,male,75+ years,,26900.0
Kyrgyzstan,1985,female,15-24 years,16.0,391800.0
Kyrgyzstan,1985,female,25-34 years,15.0,307700.0
Kyrgyzstan,1985,female,35-54 years,42.0,330200.0
Kyrgyzstan,1985,female,5-14 years,0.0,453500.0
Kyrgyzstan,1985,female,55-74 years,37.0,231300.0
Kyrgyzstan,1985,female,75+ years,7.0,59400.0
Kyrgyzstan,1985,male,15-24 years,44.0,391100.0
Kyrgyzstan,1985,male,25-34 years,75.0,307700.0
Kyrgyzstan,1985,male,35-54 years,146.0,317100.0
Kyrgyzstan,1985,male,5-14 years,6.0,461400.0
Kyrgyzstan,1985,male,55-74 years,68.0,150100.0
Kyrgyzstan,1985,male,75+ years,9.0,26600.0
Kyrgyzstan,1986,female,15-24 years,14.0,387900.0
Kyrgyzstan,1986,female,25-34 years,9.0,321600.0
Kyrgyzstan,1986,female,35-54 years,32.0,335200.0
Kyrgyzstan,1986,female,5-14 years,1.0,460700.0
Kyrgyzstan,1986,female,55-74 years,19.0,235100.0
Kyrgyzstan,1986,female,75+ years,16.0,60100.0
Kyrgyzstan,1986,male,15-24 years,47.0,389100.0
Kyrgyzstan,1986,male,25-34 years,78.0,321100.0
Kyrgyzstan,1986,male,35-54 years,98.0,322900.0
Kyrgyzstan,1986,male,5-14 years,7.0,468200.0
Kyrgyzstan,1986,male,55-74 years,45.0,155800.0
Kyrgyzstan,1986,male,75+ years,11.0,26500.0
Kyrgyzstan,1987,female,15-24 years,25.0,384400.0
Kyrgyzstan,1987,female,25-34 years,22.0,334600.0
Kyrgyzstan,1987,female,35-54 years,27.0,341000.0
Kyrgyzstan,1987,female,5-14 years,4.0,469000.0
Kyrgyzstan,1987,female,55-74 years,38.0,239000.0
Kyrgyzstan,1987,female,75+ years,19.0,61200.0
Kyrgyzstan,1987,male,15-24 years,51.0,388000.0
Kyrgyzstan,1987,male,25-34 years,82.0,332800.0
Kyrgyzstan,1987,male,35-54 years,119.0,329500.0
Kyrgyzstan,1987,male,5-14 years,11.0,476700.0
Kyrgyzstan,1987,male,55-74 years,66.0,161800.0
Kyrgyzstan,1987,male,75+ years,11.0,26600.0
Kyrgyzstan,1988,female,15-24 years,17.0,382400.0
Kyrgyzstan,1988,female,25-34 years,17.0,345300.0
Kyrgyzstan,1988,female,35-54 years,32.0,348300.0
Kyrgyzstan,1988,female,5-14 years,5.0,478400.0
Kyrgyzstan,1988,female,55-74 years,34.0,242200.0
Kyrgyzstan,1988,female,75+ years,23.0,61400.0
Kyrgyzstan,1988,male,15-24 years,57.0,388500.0
Kyrgyzstan,1988,male,25-34 years,77.0,341300.0
Kyrgyzstan,1988,male,35-54 years,119.0,337300.0
Kyrgyzstan,1988,male,5-14 years,10.0,486800.0
Kyrgyzstan,1988,male,55-74 years,73.0,167400.0
Kyrgyzstan,1988,male,75+ years,14.0,26500.0
Kyrgyzstan,1989,female,15-24 years,25.0,385000.0
Kyrgyzstan,1989,female,25-34 years,23.0,353200.0
Kyrgyzstan,1989,female,35-54 years,30.0,358900.0
Kyrgyzstan,1989,female,5-14 years,10.0,490100.0
Kyrgyzstan,1989,female,55-74 years,31.0,242200.0
Kyrgyzstan,1989,female,75+ years,23.0,61100.0
Kyrgyzstan,1989,male,15-24 years,57.0,393100.0
Kyrgyzstan,1989,male,25-34 years,99.0,347300.0
Kyrgyzstan,1989,male,35-54 years,134.0,346700.0
Kyrgyzstan,1989,male,5-14 years,16.0,498800.0
Kyrgyzstan,1989,male,55-74 years,67.0,171100.0
Kyrgyzstan,1989,male,75+ years,11.0,26000.0
Kyrgyzstan,1990,female,15-24 years,31.0,390100.0
Kyrgyzstan,1990,female,25-34 years,23.0,357500.0
Kyrgyzstan,1990,female,35-54 years,36.0,368500.0
Kyrgyzstan,1990,female,5-14 years,4.0,502700.0
Kyrgyzstan,1990,female,55-74 years,38.0,242200.0
Kyrgyzstan,1990,female,75+ years,15.0,59800.0
Kyrgyzstan,1990,male,15-24 years,54.0,400300.0
Kyrgyzstan,1990,male,25-34 years,99.0,350200.0
Kyrgyzstan,1990,male,35-54 years,149.0,354400.0
Kyrgyzstan,1990,male,5-14 years,16.0,511400.0
Kyrgyzstan,1990,male,55-74 years,68.0,175000.0
Kyrgyzstan,1990,male,75+ years,14.0,25200.0
Kyrgyzstan,1991,female,15-24 years,36.0,395500.0
Kyrgyzstan,1991,female,25-34 years,16.0,358700.0
Kyrgyzstan,1991,female,35-54 years,26.0,376100.0
Kyrgyzstan,1991,female,5-14 years,3.0,514400.0
Kyrgyzstan,1991,female,55-74 years,38.0,245400.0
Kyrgyzstan,1991,female,75+ years,14.0,58300.0
Kyrgyzstan,1991,male,15-24 years,49.0,408100.0
Kyrgyzstan,1991,male,25-34 years,120.0,351100.0
Kyrgyzstan,1991,male,35-54 years,138.0,361100.0
Kyrgyzstan,1991,male,5-14 years,16.0,523400.0
Kyrgyzstan,1991,male,55-74 years,73.0,180300.0
Kyrgyzstan,1991,male,75+ years,14.0,24100.0
Kyrgyzstan,1992,female,15-24 years,30.0,399700.0
Kyrgyzstan,1992,female,25-34 years,19.0,355300.0
Kyrgyzstan,1992,female,35-54 years,21.0,380600.0
Kyrgyzstan,1992,female,5-14 years,4.0,524700.0
Kyrgyzstan,1992,female,55-74 years,25.0,249100.0
Kyrgyzstan,1992,female,75+ years,7.0,56800.0
Kyrgyzstan,1992,male,15-24 years,65.0,414000.0
Kyrgyzstan,1992,male,25-34 years,86.0,349800.0
Kyrgyzstan,1992,male,35-54 years,135.0,366000.0
Kyrgyzstan,1992,male,5-14 years,11.0,534400.0
Kyrgyzstan,1992,male,55-74 years,74.0,185900.0
Kyrgyzstan,1992,male,75+ years,14.0,23000.0
