country,year,sex,age,suicides_no,population
Greece,1980,male,5-14 years,5.0,765400.0
Greece,1980,male,55-74 years,60.0,792100.0
Greece,1980,male,75+ years,33.0,198800.0
Greece,1981,female,15-24 years,10.0,701700.0
Greece,1981,female,25-34 years,18.0,659500.0
Greece,1981,female,35-54 years,27.0,1333100.0
Greece,1981,female,5-14 years,3.0,707200.0
Greece,1981,female,55-74 years,29.0,917000.0
Greece,1981,female,75+ years,15.0,284400.0
Greece,1981,male,15-24 years,23.0,731900.0
Greece,1981,male,25-34 years,38.0,668400.0
Greece,1981,male,35-54 years,67.0,1244100.0
Greece,1981,male,5-14 years,1.0,755700.0
Greece,1981,male,55-74 years,66.0,805000.0
Greece,1981,male,75+ years,25.0,205500.0
Greece,1982,female,15-24 years,17.0,709100.0
Greece,1982,female,25-34 years,16.0,662200.0
Greece,1982,female,35-54 years,27.0,1337100.0
Greece,1982,female,5-14 years,1.0,699300.0
Greece,1982,female,55-74 years,32.0,934000.0
Greece,1982,female,75+ years,12.0,292100.0
Greece,1982,male,15-24 years,22.0,751200.0
Greece,1982,male,25-34 years,31.0,663900.0
Greece,1982,male,35-54 years,71.0,1251000.0
Greece,1982,male,5-14 years,2.0,746800.0
Greece,1982,male,55-74 years,88.0,819400.0
Greece,1982,male,75+ years,28.0,213300.0
Greece,1983,female,15-24 years,15.0,715800.0
Greece,1983,female,25-34 years,9.0,667400.0
Greece,1983,female,35-54 years,31.0,1336500.0
Greece,1983,female,5-14 years,1.0,691300.0
Greece,1983,female,55-74 years,30.0,954000.0
Greece,1983,female,75+ years,16.0,301100.0
Greece,1983,male,15-24 years,40.0,770200.0
Greece,1983,male,25-34 years,48.0,659300.0
Greece,1983,male,35-54 years,65.0,1253800.0
Greece,1983,male,5-14 years,7.0,738300.0
Greece,1983,male,55-74 years,75.0,837100.0
Greece,1983,male,75+ years,31.0,220000.0
Greece,1984,female,15-24 years,15.0,718400.0
Greece,1984,female,25-34 years,21.0,672600.0
Greece,1984,female,35-54 years,33.0,1332500.0
Greece,1984,female,5-14 years,1.0,687600.0
Greece,1984,female,55-74 years,33.0,977900.0
Greece,1984,female,75+ years,6.0,308900.0
Greece,1984,male,15-24 years,35.0,777000.0
Greece,1984,male,25-34 years,44.0,665900.0
Greece,1984,male,35-54 years,77.0,1252500.0
